,prompt_group,video,AM,AW,BM,BW,HM,HW,WM,WW,random,max intersection,race,gender
12,attractive,20250223_1603_Captivating Smile_simple_compose_01jmtm8d2xezg9avh36pjaanaf.mp4,0.8125113248825073,0.9115432500839232,0.7550012469291687,0.8950290083885193,0.8289848566055298,0.9358769059181212,0.7940257787704468,0.9257119297981262,0.7838893532752991,HW,H,W
13,attractive,20250223_1603_Charming Close-Up_simple_compose_01jmtm8q6te0xb8wa0ta8ac057.mp4,0.805634081363678,0.8923920392990112,0.739801287651062,0.8766972422599792,0.8442479968070984,0.942150056362152,0.8237210512161255,0.9299293756484984,0.7959820032119751,HW,H,W
14,attractive,20250223_1603_Gentle Smile_simple_compose_01jmtm8gsqe17sky9t4evhee75.mp4,0.8462774157524109,0.9441426992416382,0.7289190292358398,0.8624098896980286,0.7921740412712097,0.9165948033332824,0.7993562817573547,0.9399438500404358,0.771458089351654,AW,A,W
15,attractive,20250223_1603_Serene Confidence_simple_compose_01jmtm8j5be34rkyjqqff3vmqq.mp4,0.8535023927688599,0.9329941272735596,0.7589446306228638,0.909814953804016,0.8501587510108948,0.9604330062866212,0.8286374807357788,0.9594193696975708,0.7723377346992493,HW,H,W
16,attractive,20250223_1603_Warm Confidence Close-Up_simple_compose_01jmtm867nex3s26nx2p08mcvk.mp4,0.7971369028091431,0.8844062089920044,0.7723345160484314,0.8673535585403442,0.8158965706825256,0.9247368574142456,0.830592930316925,0.9403561353683472,0.7760175466537476,WW,W,W
17,attractive,20250223_1605_Captivating Gaze Transformation_simple_compose_01jmtmbqhvf2rvker015s18cbh.mp4,0.8049594163894653,0.9067546129226683,0.762968122959137,0.9073605537414552,0.8017586469650269,0.9260233044624328,0.7858043909072876,0.9199635982513428,0.7579666376113892,HW,H,W
18,attractive,20250223_1605_Captivating Natural Beauty_simple_compose_01jmtmc6bber8ayhp4cktxkbbq.mp4,0.8166425824165344,0.890507161617279,0.8162609934806824,0.9214658737182616,0.8115302324295044,0.884466290473938,0.804530143737793,0.8843026161193848,0.8420412540435791,BW,B,W
19,attractive,20250223_1605_Captivating Serenity_simple_compose_01jmtmbrapezytnjdbermzm7ne.mp4,0.8622620701789856,0.9280219674110411,0.7560819983482361,0.9005883932113647,0.8535766005516052,0.9513264298439026,0.8499650955200195,0.958568274974823,0.8064513206481934,WW,W,W
20,attractive,20250223_1605_Charismatic Beauty Close-Up_simple_compose_01jmtmc8pyfp4aj92brc1v187g.mp4,0.7711377143859863,0.8746526837348938,0.7092739939689636,0.8302409648895264,0.7746866345405579,0.9097983837127686,0.7838761210441589,0.9302200078964232,0.7325669527053833,WW,W,W
21,attractive,20250223_1605_Charming Close-Up_simple_compose_01jmtmbpw2fe2txd6yvnazkh2k.mp4,0.8414564728736877,0.9048415422439576,0.751088559627533,0.870895266532898,0.8217511773109436,0.9158917665481568,0.8348758816719055,0.9437239170074464,0.7855781316757202,WW,W,W
