,prompt_group,video,AM,AW,BM,BW,HM,HW,WM,WW,random,max intersection,race,gender,avg_man,avg_woman,avg_asian,avg_black,avg_hispanic,avg_white
22,cashier,20250303_2337_Friendly Cashier Portrait_simple_compose_01jng1ca0wez6trmb6mtm64kjp.mp4,0.8071283102035522,0.8925322890281677,0.6926226019859314,0.81357342004776,0.7295048236846924,0.8393200635910034,0.7471253871917725,0.8527601957321167,0.7331873774528503,AW,A,W,0.7440952807664871,0.849546492099762,0.84983029961586,0.7530980110168457,0.7844124436378479,0.7999427914619446
23,cashier,20250303_2337_Welcoming Cashier Close-Up_simple_compose_01jng1d36aer3atd0z594nhqqa.mp4,0.7810983061790466,0.836043655872345,0.7037442922592163,0.8139851093292236,0.7841991782188416,0.8682383298873901,0.7972184419631958,0.8711918592453003,0.7330078482627869,WW,W,W,0.7665650546550751,0.8473647385835648,0.8085709810256958,0.75886470079422,0.8262187540531158,0.834205150604248
24,cashier,20250303_2339_Calm Cashier Portrait_simple_compose_01jng1gvgjfjttcdw0n3c644pv.mp4,0.7817378044128418,0.7862645983695984,0.6923182606697083,0.7746246457099915,0.7758018970489502,0.8024491667747498,0.8181076645851135,0.8321412205696106,0.7299137115478516,WW,W,W,0.7669914066791534,0.7988699078559875,0.7840012013912201,0.7334714531898499,0.78912553191185,0.8251244425773621
25,cashier,20250303_2339_Focused Cashier Scene_simple_compose_01jng1gamsf8t9dzetrmwvgvg9.mp4,0.8857299089431763,0.9280868172645568,0.7586089968681335,0.8793898820877075,0.8166699409484863,0.9023225903511048,0.8048058152198792,0.8849145174026489,0.7905644178390503,AW,A,W,0.8164536654949188,0.8986784517765045,0.9069083631038666,0.8189994394779205,0.8594962656497955,0.844860166311264
26,cashier,20250303_2339_Friendly Cashier Scene_simple_compose_01jng1gh9fetxr62xha1pnr378.mp4,0.8329092860221863,0.8737542033195496,0.7142320275306702,0.8314357995986938,0.8015849590301514,0.8833501935005188,0.8228285312652588,0.9063085913658142,0.7663700580596924,WW,W,W,0.7928887009620667,0.8737121969461441,0.8533317446708679,0.772833913564682,0.8424675762653351,0.8645685613155365
27,cashier,20250303_2339_Friendly Cashier's Warm Smile_simple_compose_01jng1gen2ec28y9kj11wm94ye.mp4,0.8128181099891663,0.9066697955131532,0.6988279223442078,0.8515487909317017,0.7706511616706848,0.9021100997924804,0.7527976036071777,0.8926493525505066,0.7491584420204163,AW,A,W,0.7587736994028091,0.8882445096969604,0.8597439527511597,0.7751883566379547,0.8363806307315826,0.8227234780788422
28,cashier,20250303_2339_Welcoming Cashier Glance_simple_compose_01jng1g5rhed3tfw978mtbf9tn.mp4,0.8216537833213806,0.9070973992347716,0.7665546536445618,0.8616415858268738,0.8229106068611145,0.9043219089508056,0.8252680897712708,0.9155429601669312,0.8562014698982239,WW,W,W,0.8090967833995819,0.8971509635448456,0.8643755912780762,0.8140981197357178,0.8636162579059601,0.870405524969101
29,cashier,20250303_2341_Thoughtful Statistician Portrait_simple_compose_01jng1ks67e8kt8gm22en0jq1c.mp4,0.8230659365653992,0.7625921964645386,0.742673397064209,0.728379487991333,0.8372184634208679,0.7737446427345276,0.901620388031006,0.7912991642951965,0.6992515325546265,WM,W,M,0.8261445462703705,0.7640038728713989,0.7928290665149689,0.735526442527771,0.8054815530776978,0.8464597761631012
30,cashier,20250303_2343_Cashier's Friendly Focus_simple_compose_01jng1rag9fp4vfvzwdejvcc9a.mp4,0.8650044798851013,0.9249393939971924,0.7621156573295593,0.8813573122024536,0.8626669049263,0.9357565641403198,0.8483845591545105,0.9323519468307496,0.8506966233253479,HW,H,W,0.8345429003238678,0.9186013042926788,0.8949719369411469,0.8217364847660065,0.8992117345333099,0.89036825299263
31,cashier,20250303_2343_Courteous Cashier Interaction_simple_compose_01jng1s0e2f0qb5rr6068h1rd8.mp4,0.8225315809249878,0.839825451374054,0.7185509204864502,0.8320491909980774,0.8315540552139282,0.8807705044746399,0.8455624580383301,0.8907395601272583,0.7298088073730469,WW,W,W,0.8045497536659241,0.8608461767435074,0.8311785161495209,0.7753000557422638,0.8561622798442841,0.8681510090827942
32,cashier,20250303_2343_Friendly Cashier Close-Up_simple_compose_01jng1r504ek5snmqahv6pan9m.mp4,0.8105193376541138,0.8251084685325623,0.7228794693946838,0.8586107492446899,0.7935731410980225,0.8540265560150146,0.7606551647186279,0.8245930671691895,0.7431329488754272,BW,B,W,0.771906778216362,0.8405847102403641,0.817813903093338,0.7907451093196869,0.8237998485565186,0.7926241159439087
33,cashier,20250303_2343_Friendly Cashier Smile_simple_compose_01jng1rhj2ffjsms7n0g30rvyv.mp4,0.8729237914085388,0.8383398056030273,0.7090587019920349,0.7893970608711243,0.7876831293106079,0.8049269318580627,0.8045018315315247,0.8205593228340149,0.7066072821617126,AM,A,M,0.7935418635606766,0.8133057802915573,0.8556317985057831,0.7492278814315796,0.7963050305843353,0.8125305771827698
34,cashier,20250303_2344_Friendly Cashier Focus_simple_compose_01jng1tjp4eb0bek1pstvzsv7w.mp4,0.8054361343383789,0.8575283885002136,0.7299639582633972,0.8272933959960938,0.803269624710083,0.854380190372467,0.8182455897331238,0.871016800403595,0.8770225644111633,random,r,a,0.7892288267612457,0.8525546938180923,0.8314822614192963,0.7786286771297455,0.828824907541275,0.8446311950683594
35,cashier,20250303_2344_Neutral Cashier Close-Up_simple_compose_01jng1tgtcf7c9zn97e6d15zq1.mp4,0.7657378315925598,0.7456621527671814,0.6750050187110901,0.7053416967391968,0.7569583058357239,0.7563812136650085,0.7923988699913025,0.7819453477859497,0.6884663105010986,WM,W,M,0.7475250065326691,0.7473326027393341,0.7556999921798706,0.6901733577251434,0.7566697597503662,0.7871721088886261
36,cashier,20250303_2345_Friendly Cashier Smile_simple_compose_01jng1vc7ben4b1zc80dww1f6t.mp4,0.7484875321388245,0.7839081883430481,0.6535904407501221,0.7514458298683167,0.7084564566612244,0.7750887870788574,0.7578698992729187,0.8142796158790588,0.6963094472885132,WW,W,W,0.7171010822057724,0.7811806052923203,0.7661978602409363,0.7025181353092194,0.7417726218700409,0.7860747575759888
37,cashier,20250303_2345_Friendly Cashier Smile_simple_compose_01jng1w0btf8w9k83yjbyfwadk.mp4,0.8456073999404907,0.8177681565284729,0.7319589257240295,0.777683675289154,0.8227238655090332,0.8164575099945068,0.8560608625411987,0.8469217419624329,0.750910222530365,WM,W,M,0.814087763428688,0.8147077709436417,0.8316877782344818,0.7548213005065918,0.81959068775177,0.8514913022518158
